name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two,type
House Of Commons,No,Yes,4.7,4441,Koramangala 5th Block,others,others,1000.0,Dine-out
Soho Bar & Grill,No,No,2.7,377,Basavanagudi,others,others,1100.0,Drinks & nightlife
Kota Kachori,Yes,No,4.3,3618,Koramangala 6th Block,Quick Bites,others,400.0,Delivery
Hotel Aradhana,Yes,No,3.7,51,Bannerghatta Road,Quick Bites,North Indian,300.0,Dine-out
The Belgian Waffle Co.,Yes,No,3.8,152,Jayanagar,Dessert Parlor,"Desserts, Beverages",350.0,Delivery
Zodiac - Fortune Select JP Cosmos Hotel,Yes,Yes,3.8,91,Cunningham Road,Casual Dining,others,1800.0,Dine-out
Sweet N Swirl,No,No,3.2,17,Banashankari,Dessert Parlor,"Desserts, Ice Cream",150.0,Desserts
Village - The Soul of India,No,No,3.9,1225,Sarjapur Road,Casual Dining,others,1100.0,Dine-out
By 2 Coffee,Yes,No,3.9,25,Basavanagudi,Quick Bites,South Indian,100.0,Delivery
Rashtrakutas,Yes,Yes,3.9,402,HSR,Casual Dining,others,800.0,Delivery
Speedbreaker,Yes,No,3.4,14,BTM,Quick Bites,North Indian,300.0,Dine-out
Utse Kitchen,Yes,No,4.2,174,Commercial Street,Casual Dining,others,800.0,Delivery
Chai Point,No,No,3.8,149,Cunningham Road,others,others,250.0,Delivery
Zamindar,Yes,Yes,4.4,347,Kalyan Nagar,Casual Dining,others,600.0,Dine-out
Stoner,Yes,No,4.3,549,Whitefield,others,others,500.0,Desserts
Rolls Mania,Yes,No,3.7,32,Koramangala 6th Block,Quick Bites,"Fast Food, Rolls",450.0,Delivery
Peat & Fire,Yes,No,3.8,0,JP Nagar,Quick Bites,others,700.0,Dine-out
Grahaira,No,No,3.5,0,Commercial Street,Quick Bites,North Indian,300.0,Delivery
Dande's Hyderabad Biryani,Yes,No,3.8,209,Bannerghatta Road,Casual Dining,others,700.0,Delivery
New Bombay Vada Pav,No,No,3.4,61,Rajajinagar,Quick Bites,Fast Food,150.0,Dine-out
Corner House Ice Cream,No,No,4.4,669,Kalyan Nagar,Dessert Parlor,"Ice Cream, Desserts",400.0,Desserts
Smoothies Cafe,Yes,No,3.1,0,HBR Layout,"Takeaway, Delivery",others,200.0,Delivery
Onesta,Yes,Yes,4.5,860,Electronic City,others,others,600.0,Cafes
Domino's Pizza,Yes,No,3.9,117,MG Road,Quick Bites,"Pizza, Fast Food",400.0,Dine-out
Kesar Sweet Shop And Fast Food,No,No,3.9,54,Kalyan Nagar,Quick Bites,others,500.0,Dine-out
Cafe Idly,Yes,No,3.7,81,Frazer Town,Quick Bites,"South Indian, Fast Food",200.0,Delivery
Pasta Street,Yes,Yes,4.5,247,Koramangala 4th Block,Casual Dining,others,1300.0,Delivery
Foodies Club,Yes,No,3.4,5,BTM,Quick Bites,others,300.0,Delivery
Shezan,Yes,No,4.1,391,Cunningham Road,Casual Dining,others,600.0,Delivery
Frozen Bottle,Yes,No,3.7,19,Infantry Road,others,others,400.0,Desserts
Chickpet Donne Biryani House,Yes,No,3.7,50,Commercial Street,Quick Bites,Biryani,250.0,Delivery
The Fresh Wok,No,No,3.3,10,BTM,"Takeaway, Delivery",others,600.0,Delivery
Zaica Dine & Wine,Yes,Yes,3.8,832,Brookefield,"Casual Dining, Bar",North Indian,750.0,Buffet
Chaitanya Cafe,Yes,No,3.9,92,JP Nagar,Quick Bites,others,300.0,Delivery
TAB - Take A Break,No,No,4.1,522,JP Nagar,Cafe,others,550.0,Desserts
Third Wave Coffee Roasters,No,No,4.4,1225,Koramangala 4th Block,Cafe,others,800.0,Cafes
Gourmet Food Truck,Yes,No,3.8,17,South Bangalore,others,Chinese,200.0,Dine-out
Panchamukhi Sagar,No,No,3.2,4,Banaswadi,Quick Bites,"North Indian, South Indian, Chinese",300.0,Delivery
The Only Place,Yes,Yes,4.2,2924,Church Street,Casual Dining,others,1000.0,Delivery
Frozen Bottle,Yes,No,4.1,174,Indiranagar,others,others,400.0,Delivery
Aromas Of South,Yes,No,3.7,46,Race Course Road,Casual Dining,South Indian,1000.0,Delivery
Starbucks,No,No,4.1,110,Jayanagar,Cafe,"Cafe, Desserts",700.0,Dine-out
Grand Taj,No,No,3.4,0,Electronic City,Quick Bites,"Biryani, North Indian, Chinese",200.0,Dine-out
Kriti Dugar,No,No,3.4,6,Marathahalli,Dessert Parlor,Desserts,200.0,Delivery
Cafe Imroze,Yes,No,3.7,97,Infantry Road,others,others,650.0,Delivery
Ibaco,Yes,No,4.0,93,Brigade Road,Dessert Parlor,Desserts,300.0,Desserts
Biryanis And More,Yes,No,3.7,22,Koramangala 5th Block,Quick Bites,others,750.0,Delivery
Chutneys Tiffin Center,No,No,3.1,0,BTM,Quick Bites,others,300.0,Delivery
Filmy Kitchen,Yes,No,3.7,182,Bellandur,Quick Bites,others,400.0,Delivery
What the Food,No,No,3.6,38,BTM,Quick Bites,"North Indian, Chinese, Fast Food",250.0,Delivery
North Indian Tadka,Yes,No,3.0,6,Ejipura,Quick Bites,"Chinese, North Indian",200.0,Dine-out
Tiger Trail - Ramada Hotel,Yes,Yes,4.0,188,Shivajinagar,"Casual Dining, Bar",others,1300.0,Dine-out
Owl's Kitchen,No,No,3.7,0,Koramangala 3rd Block,Quick Bites,"North Indian, Chinese",500.0,Delivery
SL Vadapav,Yes,No,4.0,82,Jayanagar,Quick Bites,others,100.0,Delivery
Chaska Box,No,No,3.3,4,Sarjapur Road,"Takeaway, Delivery","Bakery, Desserts",1400.0,Desserts
Ghar Ki Rasoi,Yes,No,3.7,50,Bellandur,Casual Dining,North Indian,500.0,Delivery
Checkpost,Yes,No,4.1,956,JP Nagar,Casual Dining,others,600.0,Delivery
Mitran Da Junction,Yes,No,4.1,322,Koramangala 6th Block,Quick Bites,North Indian,600.0,Delivery
Sweet Chariot,Yes,No,4.0,186,Koramangala 7th Block,others,"Bakery, Fast Food",500.0,Delivery
Easy Bites,Yes,No,4.0,59,"Varthur Main Road, Whitefield","Takeaway, Delivery",others,300.0,Delivery
Ciclo Cafe,Yes,No,4.3,1283,Indiranagar,others,others,1000.0,Delivery
Prawn Crunch,No,No,3.1,0,Richmond Road,Delivery,others,400.0,Delivery
Alba - JW Marriott Bengaluru,No,Yes,4.5,583,Lavelle Road,others,others,4000.0,Dine-out
TeaChaTe Express,No,No,3.2,0,JP Nagar,Quick Bites,others,150.0,Dine-out
Mudpipe Cafe,Yes,Yes,4.5,1874,BTM,Cafe,others,900.0,Cafes
Foody's Take Away,No,No,3.0,0,Jayanagar,Quick Bites,others,300.0,Dine-out
Singri Home Made Foods,No,No,3.3,0,Rajajinagar,Quick Bites,South Indian,150.0,Dine-out
Sweet Melts,No,No,3.8,0,JP Nagar,Dessert Parlor,"Desserts, Ice Cream",400.0,Desserts
Vasudev Adiga's,No,No,2.9,291,Koramangala 4th Block,Casual Dining,"South Indian, North Indian, Chinese, Street Food",250.0,Dine-out
Khan's Biryani,Yes,No,3.0,11,BTM,Quick Bites,"Biryani, North Indian",200.0,Delivery
Kulhad Junction,No,No,3.2,0,Electronic City,Cafe,Cafe,100.0,Dine-out
Nellore Abhiruchi,Yes,No,3.3,7,HSR,Quick Bites,"Biryani, South Indian",300.0,Delivery
Polar Bear,Yes,No,3.8,221,Kalyan Nagar,Dessert Parlor,others,400.0,Delivery
Some Mo',Yes,No,3.4,0,Koramangala 6th Block,others,others,200.0,Delivery
Dice N Dine,Yes,Yes,4.3,1810,Koramangala 5th Block,others,others,900.0,Dine-out
BLOW,Yes,Yes,4.3,969,Church Street,Cafe,others,750.0,Cafes
Shater Grill House,No,No,3.5,8,BTM,Casual Dining,others,700.0,Delivery
Podi Idly,Yes,No,4.3,656,Koramangala 6th Block,Quick Bites,South Indian,250.0,Delivery
Keventers,Yes,No,2.9,79,Whitefield,others,others,400.0,Delivery
Desi Tadka,No,No,3.7,0,Ejipura,Quick Bites,North Indian,200.0,Dine-out
Kamat Delicacy,No,No,3.4,0,Seshadripuram,Quick Bites,"South Indian, North Indian, Chinese",300.0,Dine-out
Bismillah Hotel,No,No,3.3,0,Jayanagar,Quick Bites,others,250.0,Dine-out
Bake and Juice,Yes,No,3.5,15,BTM,Quick Bites,"Fast Food, Beverages",400.0,Dine-out
Attic Lounge,Yes,Yes,4.0,1241,Koramangala 4th Block,Cafe,Cafe,700.0,Cafes
Smally's Resto Cafe,Yes,Yes,4.2,1704,Koramangala 5th Block,Cafe,others,650.0,Desserts
Chichaba's Taj,Yes,No,3.8,289,Kalyan Nagar,Casual Dining,others,600.0,Dine-out
Sudhir Vada Pav & Paratha Center,Yes,No,3.4,11,Marathahalli,Quick Bites,Street Food,250.0,Dine-out
David's Kitchen,Yes,No,3.6,14,BTM,Quick Bites,"North Indian, South Indian, Chinese",200.0,Delivery
Empire Restaurant,Yes,No,3.8,106,BTM,"Takeaway, Delivery",others,400.0,Delivery
Barbeque Nation,No,Yes,4.2,1132,Kalyan Nagar,Casual Dining,others,1600.0,Buffet
Chung Wah,Yes,No,3.7,323,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850.0,Dine-out
New Ruchi Veg Non Veg,No,No,3.4,0,Banaswadi,Quick Bites,Fast Food,150.0,Dine-out
Baithak,No,No,4.2,1383,HSR,"Casual Dining, Bar",others,1100.0,Pubs and bars
Bombay Adda,No,Yes,4.5,2225,Koramangala 7th Block,"Casual Dining, Bar",others,1100.0,Dine-out
Taste Of Banaras,No,No,3.3,0,Malleshwaram,Quick Bites,North Indian,200.0,Dine-out
Regale Restaurant,Yes,No,3.6,68,Marathahalli,Quick Bites,"North Indian, Chinese",350.0,Delivery
Bheema's,Yes,No,4.0,787,Church Street,Casual Dining,Andhra,650.0,Delivery
Dakshin Flavors,Yes,No,3.0,206,HSR,Casual Dining,"South Indian, North Indian",600.0,Delivery
Punjab Calling,Yes,No,3.7,10,Electronic City,Quick Bites,North Indian,400.0,Dine-out
Domino's Pizza,Yes,No,3.6,260,Bellandur,Quick Bites,"Pizza, Fast Food",800.0,Delivery
Namak Swad Anusaar,Yes,No,3.8,155,Marathahalli,Quick Bites,others,400.0,Delivery
La Casa,No,Yes,3.7,570,Jayanagar,Casual Dining,others,800.0,Delivery
Basaveshwara Khanavali,No,No,3.3,0,Brookefield,Quick Bites,South Indian,200.0,Delivery
Assi Tussi Lassi,Yes,No,3.7,27,Ejipura,others,others,200.0,Delivery
Naati Manae,Yes,No,3.1,10,JP Nagar,others,"South Indian, Biryani",500.0,Dine-out
Begin with us....Tea Time Cafe,Yes,No,3.8,36,Koramangala 7th Block,others,others,300.0,Delivery
Hotel The Shack,Yes,No,3.9,116,Rammurthy Nagar,Casual Dining,"North Indian, Biryani",1000.0,Delivery
Siddiqu Kabab Center,No,No,4.5,174,Richmond Road,Quick Bites,others,250.0,Dine-out
Snow'ora,Yes,Yes,4.3,342,Koramangala 4th Block,Quick Bites,others,450.0,Dine-out
Shake It Off,Yes,No,4.0,55,Brookefield,others,"Beverages, Fast Food",600.0,Delivery
The Eatery Cafe and Restaurant,No,No,3.6,0,Koramangala 7th Block,Cafe,"Cafe, Continental",500.0,Cafes
Chutneys Tiffin Center,No,No,3.2,0,BTM,Quick Bites,others,300.0,Delivery
Cafe Velvette,No,No,3.5,11,Domlur,others,others,400.0,Desserts
Candy Cake,No,No,3.2,0,Jayanagar,Bakery,Bakery,500.0,Delivery
Ambur Dum Biriyani,No,No,3.0,11,Bellandur,Quick Bites,Biryani,150.0,Dine-out
Bake a Smile,No,No,3.4,9,Old Airport Road,"Takeaway, Delivery","Bakery, Desserts",400.0,Delivery
Casa Express,No,No,2.6,26,Residency Road,Quick Bites,others,400.0,Dine-out
Cafe Thulp,Yes,Yes,4.0,348,Bellandur,Cafe,others,1000.0,Delivery
Traffic Restaurant,No,No,3.1,0,Marathahalli,Quick Bites,South Indian,250.0,Dine-out
Pot Biryani,Yes,No,3.1,166,Bannerghatta Road,Quick Bites,others,600.0,Dine-out
China Down Town,Yes,No,3.5,5,Koramangala 4th Block,Casual Dining,Chinese,800.0,Buffet
Food Springs,Yes,No,4.0,232,Jayanagar,Quick Bites,"South Indian, Chinese",400.0,Delivery
Tibbs Frankie,No,No,3.8,24,Brigade Road,Quick Bites,others,200.0,Delivery
Raj Donne Biriyani,Yes,No,3.5,17,Marathahalli,Quick Bites,"South Indian, Biryani",450.0,Dine-out
Five Star Chicken,No,No,3.1,8,Sarjapur Road,Quick Bites,Fast Food,200.0,Dine-out
Chef Baker's,Yes,No,3.8,204,HSR,others,others,600.0,Cafes
Sunmart Ice Cream Parlour,No,No,3.7,0,New BEL Road,Dessert Parlor,Ice Cream,100.0,Desserts
Seasons,Yes,Yes,3.8,500,Bannerghatta Road,Casual Dining,others,1000.0,Delivery
Keventers,Yes,No,3.6,22,Bellandur,others,others,400.0,Delivery
NR Bakery,No,No,3.6,0,HSR,Bakery,others,150.0,Delivery
Sidekicks,No,No,3.4,9,Kammanahalli,Quick Bites,Continental,450.0,Dine-out
Magic Meals,Yes,No,3.7,47,Jayanagar,others,others,400.0,Delivery
Pepper Grand.com,Yes,No,3.0,23,Sarjapur Road,Casual Dining,North Indian,600.0,Dine-out
Happy Singh,Yes,No,3.8,507,Whitefield,Casual Dining,"Chinese, North Indian",900.0,Dine-out
By The Blue - Grand Mercure,No,Yes,4.1,782,Koramangala 3rd Block,Casual Dining,"North Indian, Mughlai",1500.0,Dine-out
Southinn,Yes,No,3.2,97,Sarjapur Road,Quick Bites,others,250.0,Dine-out
The Tower Of Pizza,No,No,2.9,16,Koramangala 5th Block,Quick Bites,others,500.0,Delivery
Plantain Leaf,Yes,No,3.9,531,Thippasandra,Casual Dining,others,600.0,Dine-out
Howlin Wolf,Yes,No,4.1,93,HSR,Casual Dining,others,700.0,Dine-out
Bakingo,Yes,No,4.0,76,Koramangala 1st Block,Bakery,"Bakery, Desserts",500.0,Delivery
The Corner - Hyatt Centric MG Road,No,No,3.4,0,Ulsoor,Cafe,others,1000.0,Cafes
Kapoor's Cafe,Yes,No,4.2,150,Jayanagar,Casual Dining,North Indian,800.0,Delivery
Nandhana Mithai,No,No,3.6,0,Koramangala 4th Block,others,others,500.0,Desserts
Bubblewrap Waffle Co.,Yes,No,4.4,362,Jayanagar,Dessert Parlor,"Desserts, Beverages",400.0,Delivery
Red Chilli,No,No,3.0,18,Brookefield,others,"Chinese, Thai",600.0,Dine-out
Cafe Max,No,No,4.2,1654,Indiranagar,others,others,1300.0,Dine-out
Maven Foods,No,No,3.6,12,Koramangala 4th Block,Quick Bites,others,650.0,Delivery
Krishna Kuteera,Yes,No,4.0,398,Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese",400.0,Dine-out
1947,No,Yes,4.0,1070,Malleshwaram,Casual Dining,"North Indian, Chinese",950.0,Delivery
Cafe Knight,No,No,3.4,0,Marathahalli,Quick Bites,others,200.0,Dine-out
Savours,Yes,No,3.3,10,Sarjapur Road,Quick Bites,"North Indian, South Indian, Chinese",350.0,Delivery
Vegetarea,Yes,No,3.9,38,BTM,"Takeaway, Delivery",South Indian,250.0,Delivery
AB's - Absolute Barbecues,No,Yes,4.9,6375,BTM,Casual Dining,others,1600.0,Dine-out
Cake Fantasy,Yes,No,3.0,0,Koramangala 4th Block,others,"Desserts, Bakery",300.0,Desserts
Church Street Social,Yes,No,4.3,7574,Church Street,others,others,1500.0,Dine-out
Stir Fry,No,No,4.0,209,Residency Road,Casual Dining,"Chinese, Momos",500.0,Dine-out
Sagar Grand,Yes,No,3.8,30,Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese",300.0,Dine-out
Happy Brew,No,Yes,4.0,2160,Koramangala 5th Block,others,others,1000.0,Delivery
Khai Khai,Yes,No,3.9,50,HSR,Quick Bites,others,450.0,Delivery
Bombay Adda,No,Yes,4.4,2372,Koramangala 7th Block,"Casual Dining, Bar",others,1100.0,Dine-out
DeliBox.in,Yes,No,3.7,67,BTM,Delivery,South Indian,150.0,Delivery
Chai Makhani,Yes,No,3.5,11,Koramangala 5th Block,others,others,100.0,Delivery
Jambudweepa Juice Bar,Yes,No,3.8,24,Banaswadi,others,others,150.0,Delivery
Heavenly Desserts,No,No,3.6,10,Sarjapur Road,Bakery,Bakery,300.0,Desserts
Vennela Andhra Meals,Yes,No,3.0,23,Jayanagar,Quick Bites,Andhra,400.0,Dine-out
Chung Shan Chinese Restaurant,Yes,No,3.7,32,Ejipura,Quick Bites,"Chinese, Momos",500.0,Delivery
Cravings,Yes,No,3.7,139,Bannerghatta Road,Quick Bites,others,400.0,Dine-out
Based On A True Story- Bistro,Yes,Yes,4.3,496,Kammanahalli,others,others,800.0,Desserts
Le Arabia,Yes,No,4.2,146,JP Nagar,Casual Dining,"North Indian, Mughlai",600.0,Delivery
Rimo,Yes,No,3.9,44,Koramangala 5th Block,Quick Bites,others,500.0,Dine-out
Insta Cafe,Yes,No,2.9,7,BTM,Cafe,others,400.0,Cafes
Indira Canteen,No,No,3.2,0,Brigade Road,Quick Bites,South Indian,300.0,Dine-out
Nostradamus Bar & Lounge,No,No,3.6,14,Cunningham Road,others,others,1500.0,Drinks & nightlife
Wok And Rolls,Yes,No,3.8,0,Koramangala 1st Block,Quick Bites,"Chinese, Thai",300.0,Delivery
Sugar & Spice - Taj MG Road Bengaluru,No,No,4.0,79,MG Road,Dessert Parlor,Desserts,800.0,Desserts
Daniyal's,Yes,No,3.1,41,BTM,Quick Bites,others,800.0,Delivery
Waffle Stories,Yes,No,4.2,251,Jayanagar,Dessert Parlor,"Desserts, Beverages",300.0,Delivery
Lassi Cafe,Yes,No,3.8,41,HSR,others,others,300.0,Delivery
Sathya's,No,Yes,4.1,759,Koramangala 3rd Block,others,"North Indian, Chinese",1200.0,Drinks & nightlife
Upahara Sagar,No,No,2.9,25,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",300.0,Delivery
Anupam's Coast II Coast,Yes,No,4.1,845,Koramangala 6th Block,Casual Dining,others,700.0,Delivery
Muthashy's,Yes,No,4.2,469,BTM,Quick Bites,others,400.0,Delivery
Charminar Kabab Paradise,Yes,No,4.0,105,Frazer Town,Casual Dining,others,500.0,Delivery
Sri Krishna The Dhaba,No,No,3.6,0,Richmond Road,Quick Bites,others,200.0,Dine-out
3G's - Gulp & Groove,Yes,Yes,4.1,664,Malleshwaram,others,others,1100.0,Drinks & nightlife
Andhra Ruchulu,Yes,No,4.0,43,Old Airport Road,Quick Bites,others,400.0,Delivery
Yauatcha PÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¢tisserie,Yes,No,3.9,58,MG Road,Dessert Parlor,Desserts,600.0,Desserts
The Sugar Fairy,No,No,4.3,241,Frazer Town,Bakery,"Bakery, Desserts",100.0,Desserts
Apna Hotel,Yes,No,3.5,26,Whitefield,Quick Bites,others,300.0,Delivery
Subz,Yes,Yes,4.2,2022,Jayanagar,Casual Dining,"North Indian, South Indian",1000.0,Delivery
Cake Of Day,No,No,4.0,0,Basavanagudi,Bakery,Bakery,150.0,Desserts
Le Casse CroÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ»te,Yes,No,4.4,596,Thippasandra,Quick Bites,others,800.0,Dine-out
Sultans of Spice,Yes,Yes,4.5,3458,Koramangala 5th Block,Casual Dining,others,1300.0,Delivery
Jagannath Hotel,No,No,3.9,0,Marathahalli,Quick Bites,others,400.0,Delivery
Paradise,Yes,No,4.0,1974,JP Nagar,Casual Dining,others,800.0,Delivery
Agarwal Food Service,Yes,No,3.8,265,Bannerghatta Road,Delivery,"North Indian, Chinese, Biryani",400.0,Delivery
Donne Biriyani Mane,No,No,3.6,0,JP Nagar,Quick Bites,"Biryani, Kebab",250.0,Delivery
The 90s Hash House,No,No,3.8,63,BTM,Cafe,Cafe,500.0,Cafes
Kanti Sweets,Yes,No,3.6,16,Electronic City,others,"Mithai, Street Food",400.0,Delivery
Being Healthy,No,No,3.7,0,Koramangala 6th Block,Delivery,others,300.0,Delivery
Sree Krishna Kafe,Yes,No,4.2,973,Koramangala 5th Block,Quick Bites,South Indian,200.0,Dine-out
Daba Delights,Yes,No,3.3,9,Koramangala 4th Block,Delivery,"North Indian, Mughlai",400.0,Delivery
Kanteen 077,No,No,3.4,0,Whitefield,Quick Bites,"Beverages, Fast Food",200.0,Delivery
The Cake Lair,Yes,No,3.4,10,BTM,Quick Bites,others,600.0,Delivery
Skylit - Citrus Hotels,No,Yes,3.6,255,Bellandur,others,others,1500.0,Dine-out
Amour Fine Patisserie,Yes,Yes,4.0,85,HSR,others,others,500.0,Delivery
Giselle Resto Cafe,Yes,Yes,4.1,840,Kammanahalli,Cafe,others,800.0,Delivery
Mumbai Kulfi,Yes,No,3.9,0,Marathahalli,Dessert Parlor,"Desserts, Ice Cream",200.0,Desserts
Chin Chin by The Biere Club,Yes,Yes,4.2,271,Whitefield,Casual Dining,others,1500.0,Delivery
Vasudev Adiga's,No,No,3.7,532,HSR,Casual Dining,"South Indian, North Indian, Chinese, Street Food",250.0,Dine-out
Vanilla Pod,No,No,3.8,0,Koramangala 4th Block,Bakery,Bakery,300.0,Desserts
Madurai Idly Shop,No,No,3.8,468,Koramangala 6th Block,Quick Bites,South Indian,200.0,Dine-out
Roll Over,Yes,No,4.1,174,Kalyan Nagar,Dessert Parlor,others,500.0,Desserts
VegiGate,No,No,3.4,0,Sarjapur Road,others,others,500.0,Dine-out
50-50 EATING HOUSE,No,No,3.2,4,Basavanagudi,Quick Bites,"South Indian, Biryani",100.0,Dine-out
Green Onion,No,No,4.3,1189,Residency Road,Casual Dining,Chinese,550.0,Dine-out
Chowmein,Yes,No,4.0,280,Seshadripuram,Casual Dining,others,600.0,Dine-out
Jayanagara Donne Biryani,Yes,No,3.6,62,Jayanagar,Quick Bites,"Biryani, South Indian",400.0,Delivery
Fuel Resto Bar,No,No,4.2,38,Richmond Road,others,others,2000.0,Dine-out
Leon Grill,Yes,No,4.2,288,St. Marks Road,Quick Bites,"Burger, Fast Food",500.0,Delivery
Cool Bites,Yes,No,4.0,0,Koramangala 4th Block,Quick Bites,others,200.0,Delivery
Chaat Chatore,No,No,3.2,0,MG Road,Quick Bites,others,150.0,Dine-out
Snow'ora,Yes,Yes,4.3,343,Koramangala 4th Block,Quick Bites,others,450.0,Dine-out
Bangarpet Chat Express,Yes,No,3.3,6,Basavanagudi,Quick Bites,others,100.0,Delivery
Mani's Dum Biryani,Yes,No,4.0,284,Marathahalli,Casual Dining,others,750.0,Dine-out
#FeelTheROLL,No,No,3.4,7,Bellandur,Quick Bites,Fast Food,200.0,Delivery
Little Green Cafe,No,No,4.3,795,Church Street,others,others,900.0,Delivery
Andhra Vantillu,No,No,3.3,0,Sarjapur Road,Quick Bites,South Indian,200.0,Delivery
Anand Donne Biriyani,Yes,No,3.6,45,Jayanagar,Quick Bites,Biryani,200.0,Dine-out
Polar Bear,Yes,No,3.9,20,BTM,"Takeaway, Delivery","Desserts, Ice Cream",300.0,Delivery
Priyadarshini,Yes,No,3.8,20,Sarjapur Road,Quick Bites,"South Indian, North Indian, Chinese",400.0,Dine-out
Amnesia - The Poolside Bar,No,No,3.7,15,Residency Road,"Casual Dining, Bar","North Indian, Chinese, Continental",2000.0,Pubs and bars
RPS Food Corner,Yes,No,3.2,7,Marathahalli,Quick Bites,others,400.0,Delivery
New Kadai,Yes,No,3.8,46,Malleshwaram,Casual Dining,"North Indian, Chinese, Seafood",700.0,Delivery
Cafe Medley,Yes,No,4.2,1061,Koramangala 5th Block,Cafe,others,800.0,Delivery
Eatsomnia,Yes,No,3.5,433,Koramangala 1st Block,Delivery,others,500.0,Delivery
AL - Khair,Yes,No,3.2,0,Frazer Town,Quick Bites,North Indian,400.0,Delivery
New Royal Treat,Yes,No,3.3,0,Marathahalli,Quick Bites,"North Indian, Chinese",350.0,Dine-out
MOYASS,No,No,2.7,0,Bannerghatta Road,Casual Dining,others,600.0,Delivery
Rolls Corner,No,No,3.7,0,Brigade Road,Quick Bites,others,300.0,Delivery
Pretty Baked,No,No,3.3,0,Hennur,"Takeaway, Delivery","Bakery, Desserts",300.0,Desserts
Black Jack,No,No,3.7,318,New BEL Road,others,"North Indian, Chinese",1400.0,Delivery
Udupi Veg Express,No,No,3.4,0,Whitefield,Quick Bites,"South Indian, Chinese, North Indian",250.0,Dine-out
Fat Buddha,Yes,Yes,4.0,457,Cunningham Road,Casual Dining,"Chinese, Thai",1000.0,Dine-out
VMS Star Biriyani,No,No,3.1,5,Electronic City,Quick Bites,"Biryani, South Indian",350.0,Dine-out
The Belgian Waffle Co.,Yes,No,3.8,151,Jayanagar,Dessert Parlor,"Desserts, Beverages",350.0,Desserts
Best Biryani,No,No,3.2,0,Sarjapur Road,Casual Dining,"North Indian, Biryani",500.0,Dine-out
Al Madina Roll House,Yes,No,3.6,16,Kalyan Nagar,Quick Bites,Biryani,150.0,Dine-out
Satrangi,Yes,No,3.7,212,New BEL Road,Casual Dining,"North Indian, South Indian",900.0,Delivery
Sofiya Cakes,No,No,3.7,0,BTM,Bakery,"Bakery, Desserts",300.0,Delivery
Momo Rice Noodles,Yes,No,3.8,222,Ejipura,Casual Dining,"Chinese, Momos",600.0,Dine-out
Biryani Khazana,Yes,No,3.1,12,Indiranagar,"Takeaway, Delivery",Biryani,600.0,Delivery
Hunter's Lounge,No,No,3.1,9,Electronic City,Casual Dining,"South Indian, North Indian, Chinese",500.0,Delivery
Ganesh Food Joint,Yes,No,3.4,0,Nagawara,Quick Bites,"South Indian, Chinese",200.0,Delivery
Gujrati Mess,Yes,No,3.6,18,JP Nagar,others,others,200.0,Delivery
Zanzibar - Davanam Sarovar Portico Suites,No,No,3.5,39,BTM,others,Finger Food,1200.0,Pubs and bars
Kuttanadu,Yes,No,2.8,261,HSR,Casual Dining,others,700.0,Delivery
154 Breakfast Club,Yes,Yes,4.0,1513,Koramangala 3rd Block,Cafe,"Cafe, Continental",900.0,Cafes
C. K. Mega Hot Food,Yes,No,3.9,100,BTM,Casual Dining,"Chinese, Momos",600.0,Dine-out
Baahubelly,Yes,No,3.8,69,Brigade Road,Casual Dining,"South Indian, North Indian",500.0,Dine-out
Irie,No,No,3.3,4,Kalyan Nagar,Casual Dining,"North Indian, Chinese",800.0,Dine-out
Vijayas Biryani Palace,Yes,No,3.8,36,Whitefield,Quick Bites,others,400.0,Dine-out
La Boulangerie - Le Meridien,No,No,3.7,18,Sankey Road,others,others,2000.0,Buffet
